county_resident,area
Appling,507.08
Atkinson,339.38
Bacon,258.58
Baker,341.94
Baldwin,257.84
Banks,232.09
Barrow,160.31
Bartow,459.54
Ben Hill,250.12
Berrien,451.9
Bibb,249.76
Bleckley,215.87
Brantley,442.36
Brooks,493.05
Bryan,435.97
Bulloch,672.81
Burke,826.97
Butts,184.39
Calhoun,280.37
Camden,613.03
Candler,243.04
Carroll,499.08
Catoosa,162.16
Charlton,773.58
Chatham,426.44
Chattahoochee,248.74
Chattooga,313.34
Cherokee,421.67
Clarke,119.2
Clay,195.38
Clayton,141.57
Clinch,800.22
Cobb,339.55
Coffee,575.1
Colquitt,544.15
Columbia,290.09
Cook,227.16
Coweta,440.89
Crawford,324.89
Crisp,272.58
Dade,173.98
Dawson,210.83
Decatur,597.14
DeKalb,267.58
Dodge,495.89
Dooly,391.94
Dougherty,328.69
Douglas,200.07
Early,512.59
Echols,414.89
Effingham,477.7
Elbert,351.06
Emanuel,680.6
Evans,182.85
Fannin,386.72
Fayette,194.34
Floyd,509.91
Forsyth,224.02
Franklin,261.5
Fulton,526.64
Gilmer,426.54
Glascock,143.74
Glynn,419.75
Gordon,355.81
Grady,454.53
Greene,387.44
Gwinnett,430.38
Habersham,276.74
Hall,392.78
Hancock,471.84
Haralson,282.17
Harris,463.87
Hart,232.39
Heard,296.03
Henry,322.13
Houston,375.54
Irwin,354.34
Jackson,339.66
Jasper,368.17
Jeff Davis,330.74
Jefferson,526.49
Jenkins,347.28
Johnson,303.01
Jones,393.93
Lamar,183.5
Lanier,185.26
Laurens,807.3
Lee,355.78
Liberty,489.8
Lincoln,210.38
Long,400.29
Lowndes,496.07
Lumpkin,282.93
Macon,400.64
Madison,282.31
Marion,366
McDuffie,257.46
McIntosh,424.3
Meriwether,501.22
Miller,282.42
Mitchell,512.09
Monroe,395.66
Montgomery,239.52
Morgan,347.35
Murray,344.47
Muscogee,216.39
Newton,272.16
Oconee,184.29
Oglethorpe,439.01
Paulding,312.22
Peach,150.27
Pickens,232.06
Pierce,316.49
Pike,216.09
Polk,310.33
Pulaski,249.03
Putnam,344.64
Quitman,151.24
Rabun,369.99
Randolph,428.24
Richmond,324.33
Rockdale,129.79
Schley,166.91
Screven,645.1
Seminole,235.23
Spalding,196.47
Stephens,179.13
Stewart,458.73
Sumter,482.7
Talbot,391.39
Taliaferro,194.61
Tattnall,479.4
Taylor,376.69
Telfair,437.3
Terrell,335.44
Thomas,544.6
Tift,258.92
Toombs,364.01
Towns,166.56
Treutlen,199.44
Troup,413.99
Turner,285.39
Twiggs,358.4
Union,321.93
Upson,323.44
Walker,446.38
Walton,325.68
Ware,892.46
Warren,284.3
Washington,678.45
Wayne,641.78
Webster,209.12
Wheeler,295.48
White,240.69
Whitfield,290.46
Wilcox,377.71
Wilkes,469.49
Wilkinson,447.31
Worth,570.7
